filename,status,details
181220001601256_I.fits,ERROR,OSError: Empty or corrupt FITS file
181220001601124_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225003601146_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225003601305_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225003601354_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221003101257_I.fits,ERROR,OSError: Empty or corrupt FITS file
181226003101190_I.fits,ERROR,OSError: Empty or corrupt FITS file
181226004601083_I.fits,ERROR,OSError: Empty or corrupt FITS file
181226004601087_I.fits,ERROR,OSError: Empty or corrupt FITS file
140113005301397_B.fits,ERROR,OSError: Empty or corrupt FITS file
140113005301397_V.fits,ERROR,OSError: Empty or corrupt FITS file
140113005301397_R.fits,ERROR,OSError: Empty or corrupt FITS file
140113005301397_I.fits,ERROR,OSError: Empty or corrupt FITS file
181222004601120_I.fits,ERROR,OSError: Empty or corrupt FITS file
181222004601316_I.fits,ERROR,OSError: Empty or corrupt FITS file
181223004501218_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221005601007_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221005601258_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221005601109_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221003601144_I.fits,ERROR,OSError: Empty or corrupt FITS file
181224004101128_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221005101006_I.fits,ERROR,OSError: Empty or corrupt FITS file
181224004601135_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225004101231_I.fits,ERROR,OSError: Empty or corrupt FITS file
181224004101151_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221004101393_I.fits,ERROR,OSError: Empty or corrupt FITS file
181220003101244_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221004601284_I.fits,ERROR,OSError: Empty or corrupt FITS file
181220003101275_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221004101366_I.fits,ERROR,OSError: Empty or corrupt FITS file
181220003101093_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221005101065_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221005101026_I.fits,ERROR,OSError: Empty or corrupt FITS file
181224004601164_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221005101023_I.fits,ERROR,OSError: Empty or corrupt FITS file
181220003101357_I.fits,ERROR,OSError: Empty or corrupt FITS file
181220002601358_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221004601256_I.fits,ERROR,OSError: Empty or corrupt FITS file
181221004101341_I.fits,ERROR,OSError: Empty or corrupt FITS file
170408002501239_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225004601057_I.fits,ERROR,OSError: Empty or corrupt FITS file
181225004601301_I.fits,ERROR,OSError: Empty or corrupt FITS file
230208002801160_I.fits,ERROR,OSError: Empty or corrupt FITS file
160520002601098_I.fits,ERROR,OSError: Empty or corrupt FITS file
160520002601357_I.fits,ERROR,OSError: Empty or corrupt FITS file
210114002501197_B.fits,ERROR,OSError: Empty or corrupt FITS file
210114002501197_V.fits,ERROR,OSError: Empty or corrupt FITS file
210114002501197_R.fits,ERROR,OSError: Empty or corrupt FITS file
210114002501197_I.fits,ERROR,OSError: Empty or corrupt FITS file
190205002701195_I.fits,ERROR,OSError: Empty or corrupt FITS file
190205002701116_I.fits,ERROR,OSError: Empty or corrupt FITS file
200514003701311_I.fits,ERROR,OSError: Empty or corrupt FITS file
170408004501201_I.fits,ERROR,OSError: Empty or corrupt FITS file
200214004601185_I.fits,ERROR,OSError: Empty or corrupt FITS file
160520004201241_R.fits,ERROR,OSError: Empty or corrupt FITS file
160520004201241_I.fits,ERROR,OSError: Empty or corrupt FITS file
160520004901127_I.fits,ERROR,OSError: Empty or corrupt FITS file
170408006001386_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808002101305_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808002101033_I.fits,ERROR,OSError: Empty or corrupt FITS file
160520005701085_I.fits,ERROR,OSError: Empty or corrupt FITS file
200514006201339_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003001601095_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003001601053_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808002701220_I.fits,ERROR,OSError: Empty or corrupt FITS file
181027001101085_I.fits,ERROR,OSError: Empty or corrupt FITS file
160520006101214_I.fits,ERROR,OSError: Empty or corrupt FITS file
160520006101361_I.fits,ERROR,OSError: Empty or corrupt FITS file
140814004801067_I.fits,ERROR,OSError: Empty or corrupt FITS file
140814004801397_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003003101126_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003003101248_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003002601151_I.fits,ERROR,OSError: Empty or corrupt FITS file
171003002601278_I.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601326_B.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601326_V.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601326_R.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601326_I.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601051_B.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601051_V.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601051_R.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601051_I.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601366_B.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601366_V.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601366_R.fits,ERROR,OSError: Empty or corrupt FITS file
160813003601366_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808003201113_I.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201255_B.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201255_V.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201255_R.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201255_I.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201094_B.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201094_V.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201094_R.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201094_I.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201304_B.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201304_V.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201304_R.fits,ERROR,OSError: Empty or corrupt FITS file
201001002201304_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808003701214_I.fits,ERROR,OSError: Empty or corrupt FITS file
140808003701314_I.fits,ERROR,OSError: Empty or corrupt FITS file
